Date,England,Wales
Feb 1995,1.0107673405382824,0.9889905272484578
Mar 1995,1.0140076153537563,0.9945789198145456
Apr 1995,1.0099070214093306,0.9878343900001563
May 1995,1.013026470376486,0.9994782388252128
Jun 1995,1.0203026694347048,0.9974663086509061
Jul 1995,1.0069625635778547,0.9876167217756554
Aug 1995,1.007374896486452,0.9904259263878031
Sep 1995,1.014634168946039,0.9971719266654897
Oct 1995,1.0134714375072567,0.9779860383117353
Nov 1995,1.0175525290533125,0.9993687119106464
Dec 1995,1.0262495437825354,0.9905986149199022
Jan 1996,1.0108500596152856,0.9894713887801935
Feb 1996,1.019566055256772,0.9900118356049911
Mar 1996,1.023325984771332,0.9889462928788524
Apr 1996,1.0206487762954197,0.9975386969357657
May 1996,1.0280969388356755,0.9966965411416276
Jun 1996,1.0374140969263304,1.002673770749114
Jul 1996,1.0297530229774794,1.0081933288859075
Aug 1996,1.035799131486586,1.0075663012615523
Sep 1996,1.0457288703012564,1.013097167343241
Oct 1996,1.0494197944575552,1.0166886606430634
Nov 1996,1.0581718746232083,1.016390556857285
Dec 1996,1.0651303958853708,1.018265406154622
Jan 1997,1.0639258966080167,1.0209772566071653
Feb 1997,1.0724021785537836,1.0264865663294311
Mar 1997,1.0859350567785093,1.0311853734510337
Apr 1997,1.0882883439580242,1.0367064305093614
May 1997,1.1006877585406603,1.0422164538901975
Jun 1997,1.1122751407263374,1.0568214999170766
Jul 1997,1.1143425076756133,1.0485942639258041
Aug 1997,1.1267710656147882,1.055191344038066
Sep 1997,1.1362728017920691,1.069158037200497
Oct 1997,1.145395204539726,1.070981705772338
Nov 1997,1.1538470054336338,1.0675134432943325
Dec 1997,1.1642749667813284,1.0820800408627014
Jan 1998,1.1640482321137635,1.0787070830981564
Feb 1998,1.174661506974984,1.0798787946335613
Mar 1998,1.1822269312375986,1.091537636157404
Apr 1998,1.1908320355482105,1.0924569001925146
May 1998,1.2009019180876623,1.1025109318170325
Jun 1998,1.2109062859472153,1.107367941698024
Jul 1998,1.215872554178139,1.1112707421010095
Aug 1998,1.2243276799343774,1.1089570764732108
Sep 1998,1.2308583920304261,1.1163383864361247
Oct 1998,1.2371620080822738,1.1254406274776856
Nov 1998,1.2437623645327707,1.1315997145971803
Dec 1998,1.2535859290688984,1.1355004330903173
Jan 1999,1.2493758907662382,1.1340151681215127
Feb 1999,1.2573039614977994,1.132796193040683
Mar 1999,1.2663759676985142,1.1369373153908853
Apr 1999,1.2783175404162206,1.1533917985460993
May 1999,1.2896274001670307,1.1558294883080904
Jun 1999,1.304668206325266,1.1571910653187663
Jul 1999,1.3145823799507679,1.165381905947938
Aug 1999,1.332859349515777,1.1845027396104049
Sep 1999,1.3469749003230018,1.1838234090319633
Oct 1999,1.3633171996191962,1.1991095963453655
Nov 1999,1.379950213027406,1.206161979555902
Dec 1999,1.400625820334782,1.2175954334741188
Jan 2000,1.4069174732519938,1.22544289756626
Feb 2000,1.4214215454861774,1.2204227658770481
Mar 2000,1.4406316126487042,1.2361014768755405
Apr 2000,1.460804674447159,1.251088500493937
May 2000,1.4763173201727764,1.2563502858166213
Jun 2000,1.4972451543348786,1.2737754198560214
Jul 2000,1.5070766798650082,1.2733160007498967
Aug 2000,1.5223360057076418,1.280965885226339
Sep 2000,1.5246453016285808,1.294900388639738
Oct 2000,1.5328578422909804,1.2975560543839886
Nov 2000,1.5393473137236588,1.3049892584506988
Dec 2000,1.558776536789234,1.3099653900086674
Jan 2001,1.559004702761305,1.3067639459754936
Feb 2001,1.5717709315347281,1.3153925077748947
Mar 2001,1.5843664001512228,1.3172043095434178
Apr 2001,1.60679659622238,1.3326063265763695
May 2001,1.6272286896253512,1.3464174187400895
Jun 2001,1.6486094521343138,1.3750414154940966
Jul 2001,1.6645960222232836,1.3874560321736051
Aug 2001,1.6855570133621913,1.3911690033473445
Sep 2001,1.7029770195980598,1.412477195768278
Oct 2001,1.7151519753127893,1.409703529778374
Nov 2001,1.726743698882204,1.4251144199232832
Dec 2001,1.7540638302808083,1.4421414614901735
Jan 2002,1.7536988926365273,1.4365234684982053
Feb 2002,1.7691133690364733,1.4564189146470763
Mar 2002,1.7946316769134807,1.478248591807654
Apr 2002,1.828503069893419,1.494482283314038
May 2002,1.864802284775124,1.5282047579337006
Jun 2002,1.915596426029278,1.5821397565141808
Jul 2002,1.9431924115787325,1.5957965099825193
Aug 2002,1.9850547887109342,1.651028393966037
Sep 2002,2.015180540919368,1.6554917639397115
Oct 2002,2.043221666557683,1.6765681456020876
Nov 2002,2.0733871666690975,1.7193299035512357
Dec 2002,2.1138544240845687,1.7485700853229507
Jan 2003,2.1206280006075797,1.7520083658481274
Feb 2003,2.1456411189090496,1.7907807426376
Mar 2003,2.1614667158176815,1.8046784071128554
Apr 2003,2.187825999691682,1.844801634971229
May 2003,2.211975659146506,1.8755205626148688
Jun 2003,2.242930024381385,1.9240817460050152
Jul 2003,2.251099724903958,1.9419244255471109
Aug 2003,2.2733433168026,1.9807718927671238
Sep 2003,2.289905143812736,2.0016002557095005
Oct 2003,2.309293815490951,2.0192991386797696
Nov 2003,2.3380756066234314,2.0804999082050712
Dec 2003,2.3721172325628768,2.1270590542325394
Jan 2004,2.3704522420543546,2.153162122010762
Feb 2004,2.39462420094931,2.1650474666340886
Mar 2004,2.4186000850325104,2.188681208026307
Apr 2004,2.4628963536954624,2.2640434910533167
May 2004,2.5031755802069466,2.3085792561973904
Jun 2004,2.5429188794922415,2.391143106777813
Jul 2004,2.564711795621791,2.422959801156397
Aug 2004,2.5944804674885242,2.4701059516272
Sep 2004,2.6098395351758934,2.468518417743677
Oct 2004,2.624594068668798,2.489265363492903
Nov 2004,2.638797478498026,2.5112674294808777
Dec 2004,2.6485975924623726,2.5359764683845873
Jan 2005,2.6182555731370742,2.517494601372058
Feb 2005,2.6334087365509733,2.512778305623758
Mar 2005,2.6464491497444715,2.5304074551428024
Apr 2005,2.66435036196594,2.544949776133326
May 2005,2.680062225456621,2.559950192441711
Jun 2005,2.6966923722691667,2.5809096082597422
Jul 2005,2.6951928439507253,2.6090724254143884
Aug 2005,2.7017594823163664,2.606780974585668
Sep 2005,2.707700732695967,2.607952972119708
Oct 2005,2.7196002444014375,2.6068932183490183
Nov 2005,2.730648598384485,2.6258945756734784
Dec 2005,2.752616165159953,2.626899695117216
Jan 2006,2.734174073489783,2.6472916626979153
Feb 2006,2.757178868680167,2.6281769316782695
Mar 2006,2.7816278745728904,2.6633533180948716
Apr 2006,2.802433186170161,2.6828558775615075
May 2006,2.825887986408625,2.6991691261861432
Jun 2006,2.8558703990886416,2.7328661507379475
Jul 2006,2.856000242923036,2.737861137381196
Aug 2006,2.8737851465285256,2.75883577927594
Sep 2006,2.901858027343923,2.7812205541840496
Oct 2006,2.919549577941212,2.788557758309939
Nov 2006,2.945931124337322,2.8052812380130097
Dec 2006,2.9803577237856302,2.8396508388840545
Jan 2007,2.96632469772819,2.8254210745853205
Feb 2007,2.9889124030843925,2.8410018305708613
Mar 2007,3.0211220064310242,2.848188909858846
Apr 2007,3.049203227637654,2.86978996705827
May 2007,3.073195046120426,2.896486764582909
Jun 2007,3.1059343652686326,2.912321073494064
Jul 2007,3.1139657021861082,2.92528721243102
Aug 2007,3.1343102215342453,2.9417697356705474
Sep 2007,3.147520547197562,2.9556535206054804
Oct 2007,3.1547027976564332,2.9610828201589086
Nov 2007,3.1628786982536803,2.976634578924408
Dec 2007,3.172068553182098,2.9781235203016383
Jan 2008,3.1348976667603368,2.9330223551308094
Feb 2008,3.1378385720607938,2.9322459330187307
Mar 2008,3.1230251005295684,2.9157882238785926
Apr 2008,3.1285303817136563,2.9159452040156104
May 2008,3.1342462589957507,2.9118382616604315
Jun 2008,3.1106775486922014,2.8952211208007514
Jul 2008,3.063800929646266,2.859892911429372
Aug 2008,3.017150959500664,2.834021861925238
Sep 2008,2.9692194287964773,2.792741374173212
Oct 2008,2.912020909468885,2.7960183514912496
Nov 2008,2.864003392145874,2.7424229335550185
Dec 2008,2.8232006977809827,2.7039993854276925
Jan 2009,2.7802103718175615,2.6572076695296585
Feb 2009,2.7550337939655547,2.603307465607925
Mar 2009,2.742498041941814,2.6269424846955287
Apr 2009,2.742933653768858,2.62720970445713
May 2009,2.7606663604616233,2.6294193893148217
Jun 2009,2.774424528459391,2.6654576484699506
Jul 2009,2.796064063567787,2.68352134624706
Aug 2009,2.8181522987525267,2.6938601186149183
Sep 2009,2.845420481869216,2.6973666754642016
Oct 2009,2.866267391483684,2.701363894526597
Nov 2009,2.887295098896968,2.732326791429642
Dec 2009,2.9062114264033325,2.725554283572881
Jan 2010,2.911079841492137,2.7080270555414057
Feb 2010,2.9223300603637945,2.7065004105162447
Mar 2010,2.9327045478010163,2.7475035306060525
Apr 2010,2.95105003053086,2.753670380186559
May 2010,2.9581062110526237,2.752588051723679
Jun 2010,2.9791658530648633,2.7886594354891683
Jul 2010,2.984505536568469,2.776791343939601
Aug 2010,2.9875170292838322,2.774605533986021
Sep 2010,2.9912089756456286,2.775369542358224
Oct 2010,2.97285885715296,2.7697411221581523
Nov 2010,2.960112911030734,2.704390887268226
Dec 2010,2.949110339523222,2.724061472309557
Jan 2011,2.9303039171954577,2.717363850612061
Feb 2011,2.9203742068386767,2.705136287320203
Mar 2011,2.920586208986695,2.7084555939391075
Apr 2011,2.9339092593273413,2.7177227704359264
May 2011,2.9342089641078255,2.7042844198192464
Jun 2011,2.942055358812666,2.7035022906862873
Jul 2011,2.9512795671615213,2.705495478000064
Aug 2011,2.9549805853211857,2.713046465973278
Sep 2011,2.947631132467792,2.7099585141413907
Oct 2011,2.9411548930487355,2.684055608155749
Nov 2011,2.941839471529608,2.684210374634682
Dec 2011,2.942352096628648,2.6971424818154834
Jan 2012,2.933510745118588,2.670277700551657
Feb 2012,2.928454485622208,2.669799999132174
Mar 2012,2.9305713785442045,2.6718125110956343
Apr 2012,2.960617631860554,2.7044143590406695
May 2012,2.9720423048301843,2.7002750595766463
Jun 2012,2.987999065589416,2.704580245081029
Jul 2012,2.985961220507953,2.702358183631964
Aug 2012,2.996200484688827,2.6858758227523145
Sep 2012,2.9906824398974634,2.712263673925471
Oct 2012,2.980720014472589,2.693215135484192
Nov 2012,2.985549423087658,2.680333209033616
Dec 2012,2.990961367581858,2.6951385999643045
Jan 2013,2.979383061635886,2.6851512828244144
Feb 2013,2.983764242993458,2.6920701620080414
Mar 2013,2.990653080458579,2.6800234592925696
Apr 2013,3.0125944788210535,2.691315171463667
May 2013,3.0244222667741787,2.6935801987911745
Jun 2013,3.0481468601894997,2.7242599540171666
Jul 2013,3.0603277386202823,2.711219544589518
Aug 2013,3.0755280168573176,2.721817823558205
Sep 2013,3.096892246672114,2.7284331278653196
Oct 2013,3.1018799406327258,2.746709341835644
Nov 2013,3.1129697653271933,2.7531859967274173
Dec 2013,3.1414005088910826,2.759743774075949
Jan 2014,3.1438931963339094,2.7640991521312137
Feb 2014,3.157686126650362,2.7827926702169945
Mar 2014,3.176969726009672,2.7695235613682057
Apr 2014,3.217135443048584,2.7861840360949466
May 2014,3.2424561822223184,2.829972717208796
Jun 2014,3.27153750572043,2.8240332805398647
Jul 2014,3.3030611575375888,2.850608356638687
Aug 2014,3.334334600947284,2.844130710861978
Sep 2014,3.3433881796370266,2.861015554646514
Oct 2014,3.3416417019753255,2.8587604731336556
Nov 2014,3.348482321986022,2.8745367594603506
Dec 2014,3.3620745054948906,2.8516158116338186
Jan 2015,3.368393233074264,2.858650013944398
Feb 2015,3.369979413208784,2.8789166687704792
Mar 2015,3.374442540256914,2.8517202504162005
Apr 2015,3.40733258206302,2.864754990347501
May 2015,3.417327687491951,2.889605864265783
Jun 2015,3.4496874109568947,2.9232021183643715
Jul 2015,3.4830731809195363,2.902077436684348
Aug 2015,3.5107061328454714,2.9144491341943346
Sep 2015,3.531250976893253,2.916855363781521
Oct 2015,3.539876702891043,2.940539981005323
Nov 2015,3.5489625149208246,2.9583408516120326
Dec 2015,3.567969873043964,2.9452080239365297
Jan 2016,3.5924886537725973,2.9688006978732577
Feb 2016,3.604834660653424,2.9665218989071698
Mar 2016,3.6278179085262865,2.966301501848337
Apr 2016,3.633289034219092,2.983769741033316
May 2016,3.671522582826197,3.0058235933988118
Jun 2016,3.697106290039192,3.021724861494295
Jul 2016,3.7290304610746263,3.043653253201541
Aug 2016,3.739584935007606,3.041007229382525
Sep 2016,3.743346412440758,3.0494948046674595
Oct 2016,3.736555957650635,3.0488458753065277
Nov 2016,3.7377513512182405,3.053882740486866
Dec 2016,3.75211709480784,3.0737718652527803
Jan 2017,3.776899457591826,3.043853035028171
Feb 2017,3.773061239836498,3.0554417084850036
Mar 2017,3.773621655927901,3.0641887942513732
Apr 2017,3.8115040807227976,3.089766517277805
May 2017,3.8345966189251213,3.0827977906790784
Jun 2017,3.848256894333745,3.1034070731320944
Jul 2017,3.8838004016856393,3.155494855736352
Aug 2017,3.9158946177265324,3.148516126328885
Sep 2017,3.9042016571355687,3.174001888950316
Oct 2017,3.907194439780342,3.1806707392595204
Nov 2017,3.9073606609588656,3.1805663289299178
Dec 2017,3.915498792009711,3.1922421516488653
Jan 2018,3.9247087376737295,3.2020436670035686
Feb 2018,3.921431191603496,3.201602184297086
Mar 2018,3.919762939589143,3.2141165527638074
Apr 2018,3.936217716021448,3.2118656586961483
May 2018,3.9587925305303644,3.222880504185667
Jun 2018,3.974129775299801,3.2831818196868436
Jul 2018,4.008679131610688,3.3068787649034324
Aug 2018,4.023489636658613,3.3088266815833816
Sep 2018,4.024203040424506,3.336846690624092
Oct 2018,4.005667394873882,3.338541044877717
Nov 2018,4.014090961849,3.3475878584210745
Dec 2018,4.003785632337506,3.321611689122949
Jan 2019,3.9971873641301157,3.3419468069193776
Feb 2019,3.9847656312576514,3.324751687757322
Mar 2019,3.9762701302149157,3.3487732245312953
Apr 2019,3.996976398972055,3.3608348626445297
May 2019,4.0116029087615646,3.3644218343864423
Jun 2019,4.025315725159174,3.408451005987379
Jul 2019,4.059555669921584,3.407710862898963
Aug 2019,4.0784171234775215,3.474120609219823
Sep 2019,4.08086221606305,3.4305807303286247
Oct 2019,4.078299203810575,3.4496144995226947
Nov 2019,4.072007038109812,3.4943714716879883
Dec 2019,4.0700757866235175,3.473214792825556
Jan 2020,4.070919215750869,3.4708682267447757
Feb 2020,4.080373213919209,3.4937526268463643
Mar 2020,4.098373083288312,3.5134836419003306
Apr 2020,4.083026557422471,3.503253607676384
May 2020,4.102894882549344,3.4616380778016107
Jun 2020,4.124003938208769,3.54027674493977
Jul 2020,4.155302671484953,3.511790594711465
Aug 2020,4.182445610005601,3.5496568201759424
Sep 2020,4.2123636648634415,3.569238720199986
Oct 2020,4.249242498714813,3.6124599042957106
Nov 2020,4.3020322246776725,3.6770197027899902
Dec 2020,4.40409735640142,NA
